product_author,product_imglink,product_name,product_price
"Steve Doocy, and ,Kathy Doocy,Stephen King,, ,Seth Numrich,, et al.,Alex Jones,Dr. Becky Kennedy,Geoffrey Berman,Jonathan Cahn,Alaina Urquhart,Peter Baker, and ,Susan Glasser,Nina Totenberg,Nicholas Sparks,Randall Munroe,Jared Kushner,James Patterson, and ,Brendan DuBois,Mo Willems,Jennifer Lynn Barnes,Melissa Clark","https://m.media-amazon.com/images/I/81HE+JDes-L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91tQkOHvW9L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/61clZgj1xZL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71RIWM0sv6L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91xsywxYsnL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/913UqrSJf6L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81ZjXQY0+sL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/811zJIlF1AL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71W7cGUIo0L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/9136kXA1i-L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71xD1Mog4AL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71sifGleAWL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81d6nS3KUHL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/716pwwt36NL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91Iuhbh7aIL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81spBNattuL._AC_UY218_.jpg","The Simply Happy Cookbook: 100-Plus Recipes to Take the Stress Out of Cooking (The Happy Cookbook Series),Fairy Tale,The Great Reset: And the War for the World,Good Inside: A Guide to Becoming the Parent You Want to Be,Holding the Line: Inside the Nation's Preeminent US Attorney's Office and Its Battle with the Trump Justice Department,The Return of the Gods,The Butcher and The Wren: A Novel,The Divider: Trump in the White House, 2017-2021,Dinners with Ruth: A Memoir on the Power of Friendships,Dreamland: A Novel,What If? 2: Additional Serious Scientific Answers to Absurd Hypothetical Questions,Breaking History: A White House Memoir,Blowback: James Patterson's Best Thriller in Years,The Pigeon Will Ride the Roller Coaster!,The Final Gambit (The Inheritance Games, 3),Dinner in One: Exceptional & Easy One-Pan Meals: A Cookbook","21,.,0,.,19,.,20,.,26,.,27,.,18,.,17,.,27,.,19,.,19,.,19,.,21,.,14,.,13,.,13,.,19,."
"Eric Thomas,, ,Chris Paul - foreword,, et al.,Jann S. Wenner,Danielle Walker, and ,Aubrie Pick,David Corn,Taylor Jenkins Reid,Buzz Bissinger,Andrew Torba, and ,Andrew Isker,Aaron Reynolds, and ,Peter Brown,Robert Galbraith,, ,Robert Glenister,, et al.,Ashley Huffman Clark,Colleen Hoover,Vince Flynn,, ,Kyle Mills,, et al.,Max Lucado,Sarah J. Maas,David Limbaugh, and ,Christen Limbaugh Bloom,Ali Maffucci,, ,Megan McNamee,, et al.","https://m.media-amazon.com/images/I/71v464tzUUL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/814YCGJPGgL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91Yy9b1PseL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81abeGoTMsL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/111mHoVK0kL._SS200_.png,https://m.media-amazon.com/images/I/A1qnlFuEGtL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71mrPrRGhkL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/41ZtP+Y6mfL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71nXCvUoWfL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91Czxjt91UL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71-wor49HmL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71ZweGht1BL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71Fgg0Sp4NL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81fLmdUNWyL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91RfyORQajL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91jsGWtxpUL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91H-Uz87EVL._AC_UY218_.jpg","You Owe You: Ignite Your Power, Your Purpose, and Your Why,Like a Rolling Stone: A Memoir,Danielle Walker's Healthy in a Hurry: Real Life. Real Food. Real Fast. [A Gluten-Free, Grain-Free & Dairy-Free Cookbook],American Psychosis: A Historical Investigation of How the Republican Party Went Crazy,Carrie Soto Is Back: A Novel,The Mosquito Bowl: A Game of Life and Death in World War II,Christian Nationalism: A Biblical Guide For Taking Dominion And Discipling Nations,Creepy Crayon! (Creepy Tales!),The Ink Black Heart,It's my pu$$y, I'll do what I want: Trashley 2 Ashley,Maybe Now: A Novel (Maybe Someday),Oath of Loyalty: A Mitch Rapp Novel, Book 21,Help Is Here: Finding Fresh Strength and Purpose in the Power of the Holy Spirit,A Court of Silver Flames (A Court of Thorns and Roses, 5),The Resurrected Jesus: The Church in the New Testament,Feeding Littles and Beyond: 100 Baby-Led-Weaning-Friendly Recipes the Whole Family Will Love","0,.,22,.,21,.,27,.,13,.,24,.,14,.,14,.,0,.,19,.,13,.,0,.,24,.,14,.,20,.,19,."
"Stuart Gibbs,Andy Borowitz,Old Farmer's Almanac,David M. Rubenstein,Richard Osman,Maggie O'Farrell,Ali Hazelwood,Kevin Fredericks, and ,Melissa Fredericks,Suzy Karadsheh,Javier Zamora,Elizabeth Strout,Freida McFadden,Alice Schertle, and ,Jill McElmurry,J. D. Robb,Ann M. Martin, and ,Chan Chau,David Enrich","https://m.media-amazon.com/images/I/710E11z0yiL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/61YOrGAAZ1L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/61tdjN-8AAL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/61zEzjzV4VL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71trEOaPf5L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91Gq8CRvEUL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81kuqMV8YJL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81GAJZrZ1uL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/A1OaSpd8Q4L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81IwyDQqkQL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91Izzw-2KyL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81JWPUFyVZL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81yJWUiDg+L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91Ajj9eHgXL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/61smyuXlirL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71BG2VHbChL._AC_UY218_.jpg","Spy School Project X,Profiles in Ignorance: How America's Politicians Got Dumb and Dumber,The 2023 Old Farmer's Almanac Trade Edition (Old Farmer's Almanac, 231),How to Invest: Masters on the Craft,The Bullet That Missed: A Thursday Murder Club Mystery,The Marriage Portrait: A novel,Love on the Brain,Marriage Be Hard: 12 Conversations to Keep You Laughing, Loving, and Learning with Your Partner,The Mediterranean Dish: 120 Bold and Healthy Recipes You'll Make on Repeat: A Mediterranean Cookbook,Solito: A Memoir,Lucy by the Sea: A Novel,The Housemaid: An absolutely addictive psychological thriller with a jaw-dropping twist,Little Blue Truck Makes a Friend: A Friendship Book for Kids,Desperation in Death: An Eve Dallas Novel,Jessi's Secret Language: A Graphic Novel (The Baby-sitters Club #12) (The Baby-Sitters Club Graphix),Servants of the Damned: Giant Law Firms, Donald Trump, and the Corruption of Justice","16,.,26,.,7,.,24,.,23,.,14,.,10,.,19,.,26,.,21,.,14,.,0,.,16,.,14,.,10,.,29,."
"Brad Gosse,Vivek Ramaswamy,A. W. Jantha, and ,Gris Grimly,Jim VandeHei,, ,Mike Allen,, et al.,Tamsyn Muir,, ,Moira Quirk,, et al.,Elena Armas,Stuart Scheller,Jane Esselstyn, and ,Ann Crile Esselstyn,Eric Geron,Brian Baumgartner,R. F Kuang,Alex Ross,Eric Metaxas,Matt Fraser,Max Fisher,, ,Peter Ganim,, et al.,Anthony Reynolds","https://m.media-amazon.com/images/I/61z2326EJWL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81LfvYzexqL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/A1ObXPt24FL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71jcmdmwJfL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/815lpTFjuSL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71x5xVqCSHL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81L127sFHeL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/A1i-HDk3MPL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/A1K8gGCO2yL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81PvxfMnnAL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/A1lv97-jJoL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81iwuqBUv3L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/61f+8RYkPtL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71-7yeDyJML._AC_UY218_.jpg,https://m.media-amazon.com/images/I/819KWzzPieL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81MVawZ4z4L._AC_UY218_.jpg","Mike Hunt: Smells Like Fish (Rejected Children's Books),Nation of Victims: Identity Politics, the Death of Merit, and the Path Back to Excellence,Hocus Pocus: The Illustrated Novelization,Smart Brevity: The Power of Saying More with Less,Nona the Ninth: Locked Tomb, Book 3,The American Roommate Experiment: A Novel,Crisis of Command: How We Lost Trust and Confidence in America's Generals and Politicians,Be A Plant-Based Woman Warrior: Live Fierce, Stay Bold, Eat Delicious,The Hocus Pocus Spell Book,Seriously Good Chili Cookbook: 177 of the Best Recipes in the World,Babel: Or the Necessity of Violence: An Arcane History of the Oxford Translators' Revolution,Fantastic Four: Full Circle,Letter to the American Church,We Never Die: Secrets of the Afterlife,The Chaos Machine: The Inside Story of How Social Media Rewired Our Minds and Our World,Ruination: A League of Legends Novel","9,.,26,.,16,.,24,.,0,.,13,.,25,.,10,.,14,.,20,.,22,.,20,.,17,.,0,.,17,."
"Sarah Addison Allen,Dylan Dreyer, and ,Rosie Butcher,Drew Daywalt, and ,Oliver Jeffers,Kate Beaton,Max Brallier, and ,Douglas Holgate,Agatha Christie,, ,Naomi Alderman,, et al.,J. Bradford DeLong,Michael Roizen,, ,Peter Linneman,, et al.,Tatsuya Endo,Deepti Vempati,Ken Duckworth MD,Stephanie Garber,Farrah Rochon,Ian McEwan,Peter Navarro,Tova Friedman","https://m.media-amazon.com/images/I/71+3BgwYXLL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91WZypLRs0L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/711XY87QQ4L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81kZSQLWEnL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91ywIWHfPzL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81u-294UdVL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/815bPpA-y0L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71Tb-pxk6cL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71M9PFO+2zL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/61wraRd5NvL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81JN2jTqOBL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81896Wx2dUL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91LUn5QCvxL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81m6ydjJiiL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/813o5JzGq2L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/61TQSNeHCrL._AC_UY218_.jpg","Other Birds: A Novel,Misty the Cloud: Friends Through Rain or Shine,The Crayons Trick or Treat,Ducks: Two Years in the Oil Sands,The Last Kids on Earth and the Forbidden Fortress,Marple: Twelve New Mysteries (Miss Marple Mysteries),Slouching Towards Utopia: An Economic History of the Twentieth Century,The Great Age Reboot: Cracking the Longevity Code for a Younger Tomorrow,Spy x Family, Vol. 8 (8),I Choose Myself,You Are Not Alone: The NAMI Guide to Navigating Mental Health―With Advice from Experts and Wisdom from Real People and Families,The Ballad of Never After (Once Upon a Broken Heart, 2),Almost There (A Twisted Tale): A Twisted Tale,Lessons: A novel,Taking Back Trump's America: Why We Lost the White House and How We'll Win It Back,The Daughter of Auschwitz","17,.,17,.,8,.,35,.,11,.,20,.,30,.,22,.,7,.,19,.,26,.,15,.,15,.,22,.,24,.,13,."
"Deanna Raybourn,Ellen Marie Wiseman,Craig Johnson,, ,George Guidall,, et al.,David Milch,The Editors of National Geographic,Andrew Sean Greer,Ramit Sethi,Guinness World Records,Jon Clifton,Auschwitz-Birkenau Memorial Foundation,, ,Maria Zalewska,, et al.,Stephen Curry, and ,Geneva Bowers,Babylon Bee,DUBU(REDICE STUDIO), and ,Chugong,Mariana Zapata,Sherri Duskey Rinker, and ,AG Ford,Dahlia Lithwick","https://m.media-amazon.com/images/I/71FyoSti2xL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/61Mwcs1rxTL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/811gN7Pa-iL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71kihNEMrfL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/61tZGAKjj5L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/816Odmw6+wL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81Cm1OaHhIL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91OBt05JVeL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/61RkmIbdsCL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/A18sAzK35RL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91pGShbFTEL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81dEpf1rNFL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81eln1SzG7L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81f8frbplUL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/A1X2Xq4rofL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71WCuWgAN8L._AC_UY218_.jpg","Killers of a Certain Age,The Lost Girls of Willowbrook: A Heartbreaking Novel of Survival Based on True History,Hell and Back: Longmire Mysteries, Book 18,Life's Work: A Memoir,National Geographic Queen Elizabeth II: A Life in Photographs,Less Is Lost (The Arthur Less Books, 2),I Will Teach You to Be Rich: The Journal: No Complicated Math. No More Procrastinating. Design Your Rich Life Today.,Guinness World Records 2023,Blind Spot: The Global Rise of Unhappiness and How Leaders Missed It,Honey Cake & Latkes: Recipes from the Old World by the Auschwitz-Birkenau Survivors,I Have a Superpower,The Babylon Bee Guide to Democracy (Babylon Bee Guides),Solo Leveling, Vol. 5 (comic) (Solo Leveling (comic), 5),When Gracie Met The Grump,Construction Site Gets a Fright!: A Halloween Lift-the-Flap Book,Lady Justice: Women, the Law, and the Battle to Save America","14,.,10,.,0,.,25,.,14,.,16,.,17,.,15,.,22,.,40,.,15,.,20,.,18,.,0,.,9,.,26,."
"Jon Acuff,, ,L.E. Acuff,, et al.,Mike Maden,Kathie Lee Gifford, and ,Rabbi Jason Sobel,Tracey West, and ,Matt Loveridge,Alice Feeney,, ,Stephanie Racine,, et al.,Gen Tanabe, and ,Kelly  Tanabe,Freida McFadden,Steve Brodner, and ,Edward Sorel,Marisa G. Franco PhD,Karin Slaughter,, ,Kathleen Early,, et al.,Nikki St. Crowe,Míriam Bonastre Tur,Ann Cleeves,William Kent Krueger,Alexandra Horowitz,Tyler Merritt, and ,Lonnie Ollivierre","https://m.media-amazon.com/images/I/71jpn9MapmL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91QQd4UBy3L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91Np9UEvmsL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71XOvz8CdvL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91SLUk7pv-L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/61+lnZU2I-L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81P0n-+IXqL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/710d5JaUKlL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71lRmQRrjfL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/713Di-8sH5L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91FhvIF4mOL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81nspnu+OXL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91esDLa5RzL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71z54pgrzhL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81TeGDqCOpL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/818GNvn5Y1L._AC_UY218_.jpg","Your New Playlist: The Student's Guide to Tapping into the Superpower of Mindset,Clive Cussler's Hellburner (The Oregon Files Book 16),The God of the Way: A Journey into the Stories, People, and Faith That Changed the World Forever,Guarding the Invisible Dragons: A Branches Book (Dragon Masters #22),Daisy Darker: A Novel,The Ultimate Scholarship Book 2023: Billions of Dollars in Scholarships, Grants and Prizes 15th Edition,Never Lie: An addictive psychological thriller,Living & Dying in America: A Daily Chronicle 2020-2022,Platonic: How the Science of Attachment Can Help You Make--and Keep--Friends,Girl, Forgotten,Their Vicious Darling (Vicious Lost Boys Book 3),Hooky Volume 2 (Hooky, 2),The Rising Tide: A Vera Stanhope Novel,Fox Creek: A Novel (Cork O'Connor Mystery Series Book 19),The Year of the Puppy: How Dogs Become Themselves,A Door Made for Me","16,.,14,.,22,.,5,.,0,.,9,.,0,.,29,.,25,.,0,.,0,.,12,.,14,.,12,.,25,.,16,."
"Rachel Aviv,Jenifer Lewis, and ,HarperAudio,Cynt Marshall,Sangu Mandanna,Lauren Tarshis,B. B. Alston,Kayla Miller,Charles Murr, and ,Enrique Aguilar,Margaret Wilkerson Sexton,Jorge Gaviria, and ,Graydon Herriott,Jonathan Darman,Michael Frank, and ,Maira Kalman,Roland Martin, and ,Leah Lakins,Jennifer Tucker, and ,Ann Voskamp,Jenny Mollen,Autumn Michaelis","https://m.media-amazon.com/images/I/91lZ+AOISIL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81oFNlQ4T7L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91g3WtHPgLL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71MMxh0B5oL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71O0iBYvL7L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81CsEKiZH1S._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81KcXmPMOBL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81+GXxHO+jL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81rkdV4tIqL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71m9+raHlzL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71tG9hiS6tL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71ppLVtrmnL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81YocOrqcYL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91xc+5GGg-L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81IYKIAY2jL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/815St4Vy17L._AC_UY218_.jpg","Strangers to Ourselves: Unsettled Minds and the Stories That Make Us,Walking in My Joy: In These Streets,You've Been Chosen: Thriving Through the Unexpected,The Very Secret Society of Irregular Witches,I Survived the Wellington Avalanche, 1910 (I Survived #22),Amari and the Great Game (Supernatural Investigations, 2),Crunch (A Click Graphic Novel, 5),Asesinato en el Grado 33: La Investigación de Gagnon sobre la Masonería en el Vaticano (Spanish Edition),On the Rooftop: A Novel,Masa: Techniques, Recipes, and Reflections on a Timeless Staple,Becoming FDR: The Personal Crisis That Made a President,One Hundred Saturdays: Stella Levi and the Search for a Lost World,White Fear: How the Browning of America Is Making White Folks Lose Their Minds,Breath as Prayer: Calm Your Anxiety, Focus Your Mind, and Renew Your Soul,Dictator Lunches: Inspired Meals That Will Compel Even the Toughest of (Tyrants) Children,Whole Food For Your Family: 100+ Simple, Budget-Friendly Meals","25,.,0,.,25,.,12,.,5,.,15,.,10,.,9,.,19,.,31,.,28,.,22,.,21,.,14,.,25,.,27,."
"Karen M. McManus,Robert Harris,Ben Macintyre,Alison Cook  PhD,Neil deGrasse Tyson,IglooBooks,Michael K. Williams, and ,Jon Sternfeld,The Princeton Review,The Editors of PEOPLE,Whitney Webb,Ruth Chou Simons,Joyce Meyer, and ,Faith Words -J. Meyer Edition,Dharius Daniels,Patricia Briggs,Lucy Worsley,James Patterson","https://m.media-amazon.com/images/I/9106Hi0lMSL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81VwYeuNngL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/910bb0-M-KL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71eLRkAuqDL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81+UqGCKfRL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81oBPzV+tbL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81zK7nULAzL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81n3XPC-eaL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/61ciTfLUDwL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/61x+HuurpaL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71MaRqUCVML._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81CkX0z4L2L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81AR+Pi-I2L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81d+rsdDU6S._AC_UY218_.jpg,https://m.media-amazon.com/images/I/61ju9oq+a6L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71ADNh6uI5L._AC_UY218_.jpg","Nothing More to Tell,Act of Oblivion: A Novel,Prisoners of the Castle: An Epic Story of Survival and Escape from Colditz, the Nazis' Fortress Prison,The Best of You: Break Free from Painful Patterns, Mend Your Past, and Discover Your True Self in God,Starry Messenger: Cosmic Perspectives on Civilization,Disney: Storybook Collection Advent Calendar 2022,Scenes from My Life: A Memoir,Princeton Review AP U.S. History Premium Prep, 2023: 6 Practice Tests + Complete Content Review + Strategies & Techniques (College Test Preparation),PEOPLE Queen Elizabeth,One Nation Under Blackmail: The Sordid Union Between Intelligence and Crime that Gave Rise to Jeffrey Epstein, VOL.1,Emmanuel: An Invitation to Prepare Him Room at Christmas and Always,Loving People Who Are Hard to Love: Transforming Your World by Learning to Love Unconditionally,Your Purpose Is Calling: Your Difference Is Your Destiny,Soul Taken (A Mercy Thompson Novel Book 13),Agatha Christie: An Elusive Woman,The Ninth Month","14,.,14,.,22,.,24,.,20,.,28,.,23,.,23,.,14,.,22,.,26,.,0,.,24,.,13,.,26,.,11,."
"Annette Chavez Macias,Alex Aster,Beth McCord, and ,Jeff McCord,Jamie Fiore Higgins,Dick Ebersol,Square Enix,Tatsuki Fujimoto,Matthew West,, ,Matt Litton,, et al.,Katherine Blunt,Lt. Col. Scott Mann,Alexander McCall Smith,Square Enix,Bob Sehlinger, and ,Len Testa,Ruby Bridges, and ,Nikkolas Smith,Max Lucado,Diana Gabaldon,, ,Davina Porter,, et al.","https://m.media-amazon.com/images/I/81JmRUIKmIL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/61l0VphLyOL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71OwyFkWASL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/61hgdWvr27L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71mT6V8INWL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/51oKrXhE5mL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81r9pMwJCoL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81Ov-DLtjnL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91He9hdPKUL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81CWxK0dNOL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91Gx5UTQU2L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/51Wcbt3wfCL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81NKwh8v3NL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71aT-uq2qBL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81hUDSIXZAL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81sZ7dXUKyL._AC_UY218_.jpg","Big Chicas Don't Cry,Lightlark (The Lightlark Saga Book 1),More Than Your Number: A Christ-Centered Enneagram Approach to Becoming AWARE of Your Internal World,Bully Market: My Story of Money and Misogyny at Goldman Sachs,From Saturday Night to Sunday Night: My Forty Years of Laughter, Tears, and Touchdowns in TV,Encyclopaedia Eorzea ~The World of Final Fantasy XIV~ Volume I,Look Back,The God Who Stays: Life Looks Different with Him by Your Side,California Burning: The Fall of Pacific Gas and Electric--and What It Means for America's Power Grid,Operation Pineapple Express: The Incredible Story of a Group of Americans Who Undertook One Last Mission and Honored a Promise in Afghanistan,A Song of Comfortable Chairs: No. 1 Ladies' Detective Agency (23) (No. 1 Ladies' Detective Agency Series),Encyclopaedia Eorzea ~The World of Final Fantasy XIV~ Volume II,The Unofficial Guide to Walt Disney World 2023 (Unofficial Guides),I Am Ruby Bridges,Help Is Here Bible Study Guide plus Streaming Video: Finding Fresh Strength and Purpose in the Power of the Holy Spirit,Go Tell the Bees That I Am Gone: Outlander, Book 9","0,.,12,.,26,.,26,.,26,.,39,.,11,.,17,.,26,.,23,.,14,.,39,.,24,.,17,.,13,.,0,."
